ID,Community Areas
2868,1
771,2
575,3
3276,4
1881,5
2128,6
2285,7
2110,8
3469,9
3819,10
1049,11
600,12
927,13
2175,14
3002,15
2628,16
1549,17
618,18
4123,19
3728,20
1125,21
1922,22
4168,23
6026,24
7137,25
12031,26
3740,27
3879,28
9327,29
6491,30
3840,31
3827,32
2655,33
2379,34
1104,35
1271,36
10372,37
7785,38
8381,39
5909,40
1111,41
4282,42
371,43
1474,44
5923,45
1337,46
883,47
1814,48
1171,49
3304,50
1263,51
611,52
1982,53
981,54
2118,55
859,56
5601,57
1498,58
3606,59
822,60
1920,61
1052,62
1581,63
4819,64
4655,65
4830,66
5870,67
3472,68
1970,69
6326,70
878,71
2940,72
471,73
1764,74
1550,75
2826,76
263,77
4378,
